Biounit,Fraction,Replicate,Marked
WD_3,PM,1,0.0905587668593449
WD_3,PM,2,0.11372549019607843
WD_3,PM,3,0.07254901960784314
WD_3,M,1,0.024
WD_3,M,2,0.033218785796105384
WD_3,M,3,0.033942558746736295
WD_3,S,1,0.728110599078341
WD_3,S,2,0.7496402877697842
WD_3,S,3,0.7529585798816568
WD_3,INP,1,0.006119951040391677
WD_3,INP,2,0.005411255411255411
WD_3,INP,3,0.003271537622682661
WD_1,PM,1,0.1440922190201729
WD_1,PM,2,0.15588235294117647
WD_1,PM,3,0.11716621253405994
WD_1,M,1,0.0371900826446281
WD_1,M,2,0.040419161676646706
WD_1,M,3,0.043674698795180725
WD_1,S,1,0.7627118644067796
WD_1,S,2,0.7467811158798283
WD_1,S,3,0.8219895287958116
WD_1,INP,1,0.009560229445506692
WD_1,INP,2,
WD_1,INP,3,
WD_2,PM,1,0.1945080091533181
WD_2,PM,2,0.1782178217821782
WD_2,PM,3,0.16580310880829016
WD_2,M,1,0.03790613718411552
WD_2,M,2,0.05037783375314862
WD_2,M,3,0.04415954415954416
WD_2,S,1,0.9184060721062619
WD_2,S,2,0.9073684210526316
WD_2,S,3,0.927536231884058
WD_2,INP,1,0.00899165061014772
WD_2,INP,2,
WD_2,INP,3,
C_2,PM,1,0.15225334957369063
C_2,PM,2,0.13384813384813385
C_2,PM,3,0.13448735019973368
C_2,M,1,0.0570902394106814
C_2,M,2,0.060676779463243874
C_2,M,3,0.060950413223140494
C_2,S,1,0.8626062322946175
C_2,S,2,0.8616600790513834
C_2,S,3,0.8698630136986302
C_2,INP,1,0.015082956259426848
C_2,INP,2,0.011335012594458438
C_2,INP,3,0.0091324200913242
C_1,PM,1,0.0872210953346856
C_1,PM,2,0.11284722222222222
C_1,PM,3,0.06936416184971098
C_1,M,1,0.016568047337278107
C_1,M,2,0.03286384976525822
C_1,M,3,0.024615384615384615
C_1,S,1,0.8666666666666667
C_1,S,2,0.8586387434554974
C_1,S,3,0.8856304985337243
C_1,INP,1,0.00974770642201835
C_1,INP,2,
C_1,INP,3,
